1.000e-01, 1.000e-03, 1.000e+04
2.000e-01, 2.000e-03, 2.000e+04
3.000e-01, 3.000e-03, 3.000e+04
4.000e-01, 4.000e-03, 4.000e+04
5.000e-01, 5.000e-03, 5.000e+04
6.000e-01, 6.000e-03, 6.000e+04
7.000e-01, 7.000e-03, 7.000e+04
8.000e-01, 8.000e-03, 8.000e+04
9.000e-01, 9.000e-03, 9.000e+04
1.000e+00, 1.000e-02, 1.000e+05
2.500e+00, 2.500e-02, 2.500e+05
5.000e+00, 5.000e-02, 5.000e+05
1.000e+01, 1.000e-01, 1.000e+06
1.000e+02, 1.000e+00, 1.000e+07
1.151e-01, 1.151e-03, 1.151e+04
2.303e-01, 2.303e-03, 2.303e+04
3.454e-01, 3.454e-03, 3.454e+04
4.606e-01, 4.606e-03, 4.606e+04
5.757e-01, 5.757e-03, 5.757e+04
6.908e-01, 6.908e-03, 6.908e+04
8.060e-01, 8.060e-03, 8.060e+04
9.211e-01, 9.211e-03, 9.211e+04
1.036e+00, 1.036e-02, 1.036e+05
1.151e+00, 1.151e-02, 1.151e+05
2.878e+00, 2.878e-02, 2.878e+05
5.757e+00, 5.757e-02, 5.757e+05
1.151e+01, 1.151e-01, 1.151e+06
1.151e+02, 1.151e+00, 1.151e+07
1.326e-01, 1.326e-03, 1.326e+04
2.651e-01, 2.651e-03, 2.651e+04
3.977e-01, 3.977e-03, 3.977e+04
5.303e-01, 5.303e-03, 5.303e+04
6.629e-01, 6.629e-03, 6.629e+04
7.954e-01, 7.954e-03, 7.954e+04
9.280e-01, 9.280e-03, 9.280e+04
1.061e+00, 1.061e-02, 1.061e+05
1.193e+00, 1.193e-02, 1.193e+05
1.326e+00, 1.326e-02, 1.326e+05
3.314e+00, 3.314e-02, 3.314e+05
6.629e+00, 6.629e-02, 6.629e+05
1.326e+01, 1.326e-01, 1.326e+06
1.326e+02, 1.326e+00, 1.326e+07
1.526e-01, 1.526e-03, 1.526e+04
3.053e-01, 3.053e-03, 3.053e+04
4.579e-01, 4.579e-03, 4.579e+04
6.106e-01, 6.106e-03, 6.106e+04
7.632e-01, 7.632e-03, 7.632e+04
9.159e-01, 9.159e-03, 9.159e+04
1.068e+00, 1.068e-02, 1.068e+05
1.221e+00, 1.221e-02, 1.221e+05
1.374e+00, 1.374e-02, 1.374e+05
1.526e+00, 1.526e-02, 1.526e+05
3.816e+00, 3.816e-02, 3.816e+05
7.632e+00, 7.632e-02, 7.632e+05
1.526e+01, 1.526e-01, 1.526e+06
1.526e+02, 1.526e+00, 1.526e+07
1.758e-01, 1.758e-03, 1.758e+04
3.515e-01, 3.515e-03, 3.515e+04
5.273e-01, 5.273e-03, 5.273e+04
7.030e-01, 7.030e-03, 7.030e+04
8.788e-01, 8.788e-03, 8.788e+04
1.055e+00, 1.055e-02, 1.055e+05
1.230e+00, 1.230e-02, 1.230e+05
1.406e+00, 1.406e-02, 1.406e+05
1.582e+00, 1.582e-02, 1.582e+05
1.758e+00, 1.758e-02, 1.758e+05
4.394e+00, 4.394e-02, 4.394e+05
8.788e+00, 8.788e-02, 8.788e+05
1.758e+01, 1.758e-01, 1.758e+06
1.758e+02, 1.758e+00, 1.758e+07
2.024e-01, 2.024e-03, 2.024e+04
4.047e-01, 4.047e-03, 4.047e+04
6.071e-01, 6.071e-03, 6.071e+04
8.094e-01, 8.094e-03, 8.094e+04
1.012e+00, 1.012e-02, 1.012e+05
1.214e+00, 1.214e-02, 1.214e+05
1.417e+00, 1.417e-02, 1.417e+05
1.619e+00, 1.619e-02, 1.619e+05
1.821e+00, 1.821e-02, 1.821e+05
2.024e+00, 2.024e-02, 2.024e+05
5.059e+00, 5.059e-02, 5.059e+05
1.012e+01, 1.012e-01, 1.012e+06
2.024e+01, 2.024e-01, 2.024e+06
2.024e+02, 2.024e+00, 2.024e+07
2.330e-01, 2.330e-03, 2.330e+04
4.660e-01, 4.660e-03, 4.660e+04
6.990e-01, 6.990e-03, 6.990e+04
9.320e-01, 9.320e-03, 9.320e+04
1.165e+00, 1.165e-02, 1.165e+05
1.398e+00, 1.398e-02, 1.398e+05
1.631e+00, 1.631e-02, 1.631e+05
1.864e+00, 1.864e-02, 1.864e+05
2.097e+00, 2.097e-02, 2.097e+05
2.330e+00, 2.330e-02, 2.330e+05
5.825e+00, 5.825e-02, 5.825e+05
1.165e+01, 1.165e-01, 1.165e+06
2.330e+01, 2.330e-01, 2.330e+06
2.330e+02, 2.330e+00, 2.330e+07
2.683e-01, 2.683e-03, 2.683e+04
5.365e-01, 5.365e-03, 5.365e+04
8.048e-01, 8.048e-03, 8.048e+04
1.073e+00, 1.073e-02, 1.073e+05
1.341e+00, 1.341e-02, 1.341e+05
1.610e+00, 1.610e-02, 1.610e+05
1.878e+00, 1.878e-02, 1.878e+05
2.146e+00, 2.146e-02, 2.146e+05
2.414e+00, 2.414e-02, 2.414e+05
2.683e+00, 2.683e-02, 2.683e+05
6.707e+00, 6.707e-02, 6.707e+05
1.341e+01, 1.341e-01, 1.341e+06
2.683e+01, 2.683e-01, 2.683e+06
2.683e+02, 2.683e+00, 2.683e+07
3.089e-01, 3.089e-03, 3.089e+04
6.178e-01, 6.178e-03, 6.178e+04
9.267e-01, 9.267e-03, 9.267e+04
1.236e+00, 1.236e-02, 1.236e+05
1.544e+00, 1.544e-02, 1.544e+05
1.853e+00, 1.853e-02, 1.853e+05
2.162e+00, 2.162e-02, 2.162e+05
2.471e+00, 2.471e-02, 2.471e+05
2.780e+00, 2.780e-02, 2.780e+05
3.089e+00, 3.089e-02, 3.089e+05
7.722e+00, 7.722e-02, 7.722e+05
1.544e+01, 1.544e-01, 1.544e+06
3.089e+01, 3.089e-01, 3.089e+06
3.089e+02, 3.089e+00, 3.089e+07
3.556e-01, 3.556e-03, 3.556e+04
7.113e-01, 7.113e-03, 7.113e+04
1.067e+00, 1.067e-02, 1.067e+05
1.423e+00, 1.423e-02, 1.423e+05
1.778e+00, 1.778e-02, 1.778e+05
2.134e+00, 2.134e-02, 2.134e+05
2.490e+00, 2.490e-02, 2.490e+05
2.845e+00, 2.845e-02, 2.845e+05
3.201e+00, 3.201e-02, 3.201e+05
3.556e+00, 3.556e-02, 3.556e+05
8.891e+00, 8.891e-02, 8.891e+05
1.778e+01, 1.778e-01, 1.778e+06
3.556e+01, 3.556e-01, 3.556e+06
