# m[MeV] , R, Q
3.08884e-03, 3, 1.93070e-05
3.08884e-03, 3, 2.68270e-05
3.08884e-03, 3, 3.72759e-05
3.08884e-03, 3, 5.17947e-05
3.08884e-03, 3, 7.19686e-05
3.08884e-03, 3, 1.00000e-04
4.09492e-03, 3, 1.00000e-11
4.09492e-03, 3, 1.38950e-11
4.09492e-03, 3, 1.93070e-11
4.09492e-03, 3, 2.68270e-11
4.09492e-03, 3, 3.72759e-11
4.09492e-03, 3, 5.17947e-11
4.09492e-03, 3, 7.19686e-11
4.09492e-03, 3, 1.00000e-10
4.09492e-03, 3, 1.38950e-10
4.09492e-03, 3, 1.93070e-10
4.09492e-03, 3, 2.68270e-10
4.09492e-03, 3, 3.72759e-10
4.09492e-03, 3, 5.17947e-10
4.09492e-03, 3, 7.19686e-10
4.09492e-03, 3, 1.00000e-09
4.09492e-03, 3, 1.38950e-09
4.09492e-03, 3, 1.93070e-09
4.09492e-03, 3, 2.68270e-09
4.09492e-03, 3, 3.72759e-09
4.09492e-03, 3, 5.17947e-09
4.09492e-03, 3, 7.19686e-09
4.09492e-03, 3, 1.00000e-08
4.09492e-03, 3, 1.38950e-08
4.09492e-03, 3, 1.93070e-08
4.09492e-03, 3, 2.68270e-08
4.09492e-03, 3, 3.72759e-08
4.09492e-03, 3, 5.17947e-08
4.09492e-03, 3, 7.19686e-08
4.09492e-03, 3, 1.00000e-07
4.09492e-03, 3, 1.38950e-07
4.09492e-03, 3, 1.93070e-07
4.09492e-03, 3, 2.68270e-07
4.09492e-03, 3, 3.72759e-07
4.09492e-03, 3, 5.17947e-07
4.09492e-03, 3, 7.19686e-07
4.09492e-03, 3, 1.00000e-06
4.09492e-03, 3, 1.38950e-06
4.09492e-03, 3, 1.93070e-06
4.09492e-03, 3, 2.68270e-06
4.09492e-03, 3, 3.72759e-06
4.09492e-03, 3, 5.17947e-06
4.09492e-03, 3, 7.19686e-06
4.09492e-03, 3, 1.00000e-05
4.09492e-03, 3, 1.38950e-05
4.09492e-03, 3, 1.93070e-05
4.09492e-03, 3, 2.68270e-05
4.09492e-03, 3, 3.72759e-05
4.09492e-03, 3, 5.17947e-05
4.09492e-03, 3, 7.19686e-05
4.09492e-03, 3, 1.00000e-04
5.42868e-03, 3, 1.00000e-11
5.42868e-03, 3, 1.38950e-11
5.42868e-03, 3, 1.93070e-11
5.42868e-03, 3, 2.68270e-11
5.42868e-03, 3, 3.72759e-11
5.42868e-03, 3, 5.17947e-11
5.42868e-03, 3, 7.19686e-11
5.42868e-03, 3, 1.00000e-10
5.42868e-03, 3, 1.38950e-10
5.42868e-03, 3, 1.93070e-10
5.42868e-03, 3, 2.68270e-10
5.42868e-03, 3, 3.72759e-10
5.42868e-03, 3, 5.17947e-10
5.42868e-03, 3, 7.19686e-10
5.42868e-03, 3, 1.00000e-09
5.42868e-03, 3, 1.38950e-09
5.42868e-03, 3, 1.93070e-09
5.42868e-03, 3, 2.68270e-09
5.42868e-03, 3, 3.72759e-09
5.42868e-03, 3, 5.17947e-09
5.42868e-03, 3, 7.19686e-09
5.42868e-03, 3, 1.00000e-08
5.42868e-03, 3, 1.38950e-08
5.42868e-03, 3, 1.93070e-08
5.42868e-03, 3, 2.68270e-08
5.42868e-03, 3, 3.72759e-08
5.42868e-03, 3, 5.17947e-08
5.42868e-03, 3, 7.19686e-08
5.42868e-03, 3, 1.00000e-07
5.42868e-03, 3, 1.38950e-07
5.42868e-03, 3, 1.93070e-07
5.42868e-03, 3, 2.68270e-07
5.42868e-03, 3, 3.72759e-07
5.42868e-03, 3, 5.17947e-07
5.42868e-03, 3, 7.19686e-07
5.42868e-03, 3, 1.00000e-06
5.42868e-03, 3, 1.38950e-06
5.42868e-03, 3, 1.93070e-06
5.42868e-03, 3, 2.68270e-06
5.42868e-03, 3, 3.72759e-06
5.42868e-03, 3, 5.17947e-06
5.42868e-03, 3, 7.19686e-06
5.42868e-03, 3, 1.00000e-05
5.42868e-03, 3, 1.38950e-05
5.42868e-03, 3, 1.93070e-05
5.42868e-03, 3, 2.68270e-05
5.42868e-03, 3, 3.72759e-05
5.42868e-03, 3, 5.17947e-05
5.42868e-03, 3, 7.19686e-05
5.42868e-03, 3, 1.00000e-04
7.19686e-03, 3, 1.00000e-11
7.19686e-03, 3, 1.38950e-11
7.19686e-03, 3, 1.93070e-11
7.19686e-03, 3, 2.68270e-11
7.19686e-03, 3, 3.72759e-11
7.19686e-03, 3, 5.17947e-11
7.19686e-03, 3, 7.19686e-11
7.19686e-03, 3, 1.00000e-10
7.19686e-03, 3, 1.38950e-10
7.19686e-03, 3, 1.93070e-10
7.19686e-03, 3, 2.68270e-10
7.19686e-03, 3, 3.72759e-10
7.19686e-03, 3, 5.17947e-10
7.19686e-03, 3, 7.19686e-10
7.19686e-03, 3, 1.00000e-09
7.19686e-03, 3, 1.38950e-09
7.19686e-03, 3, 1.93070e-09
7.19686e-03, 3, 2.68270e-09
7.19686e-03, 3, 3.72759e-09
7.19686e-03, 3, 5.17947e-09
7.19686e-03, 3, 7.19686e-09
7.19686e-03, 3, 1.00000e-08
7.19686e-03, 3, 1.38950e-08
7.19686e-03, 3, 1.93070e-08
7.19686e-03, 3, 2.68270e-08
7.19686e-03, 3, 3.72759e-08
7.19686e-03, 3, 5.17947e-08
7.19686e-03, 3, 7.19686e-08
7.19686e-03, 3, 1.00000e-07
7.19686e-03, 3, 1.38950e-07
7.19686e-03, 3, 1.93070e-07
7.19686e-03, 3, 2.68270e-07
7.19686e-03, 3, 3.72759e-07
7.19686e-03, 3, 5.17947e-07
7.19686e-03, 3, 7.19686e-07
7.19686e-03, 3, 1.00000e-06
7.19686e-03, 3, 1.38950e-06
7.19686e-03, 3, 1.93070e-06
7.19686e-03, 3, 2.68270e-06
7.19686e-03, 3, 3.72759e-06
7.19686e-03, 3, 5.17947e-06
7.19686e-03, 3, 7.19686e-06
7.19686e-03, 3, 1.00000e-05
7.19686e-03, 3, 1.38950e-05
7.19686e-03, 3, 1.93070e-05
7.19686e-03, 3, 2.68270e-05
7.19686e-03, 3, 3.72759e-05
7.19686e-03, 3, 5.17947e-05
7.19686e-03, 3, 7.19686e-05
7.19686e-03, 3, 1.00000e-04
9.54095e-03, 3, 1.00000e-11
9.54095e-03, 3, 1.38950e-11
9.54095e-03, 3, 1.93070e-11
9.54095e-03, 3, 2.68270e-11
9.54095e-03, 3, 3.72759e-11
9.54095e-03, 3, 5.17947e-11
9.54095e-03, 3, 7.19686e-11
