mass [MeV], T_min [MeV], T_max [MeV]
------------------------------------
0.1, 0.1e-2, 0.1e3
0.3, 0.3e-2, 0.3e3
1.0, 1.0e-2, 1.0e3
3.0, 3.0e-2, 3.0e3
10.0, 10e-2, 10e3
31.0, 31.0e-2, 31.0e3
100.0, 100.0e-2, 100.0e3
300.0, 300.0e-2, 300.0e3
1000.0, 1000.0e-2, 1000.0e3
2000.0, 2000.0e-2, 2000.0e3
3150.0, 3150.0e-2, 3150.0e3
10000.0, 10000.0e-2, 10000.0e3
