1.000e+02, 1.000e+00, 1.000e+07
1.000e+05, 1.000e+03, 1.000e+10
1.207e+02, 1.207e+00, 1.207e+07
1.207e+05, 1.207e+03, 1.207e+10
1.456e+02, 1.456e+00, 1.456e+07
1.456e+05, 1.456e+03, 1.456e+10
1.758e+02, 1.758e+00, 1.758e+07
1.758e+05, 1.758e+03, 1.758e+10
2.121e+02, 2.121e+00, 2.121e+07
2.121e+05, 2.121e+03, 2.121e+10
2.560e+02, 2.560e+00, 2.560e+07
2.560e+05, 2.560e+03, 2.560e+10
3.089e+02, 3.089e+00, 3.089e+07
3.089e+05, 3.089e+03, 3.089e+10
3.728e+02, 3.728e+00, 3.728e+07
3.728e+05, 3.728e+03, 3.728e+10
4.498e+02, 4.498e+00, 4.498e+07
4.498e+05, 4.498e+03, 4.498e+10
5.429e+02, 5.429e+00, 5.429e+07
5.429e+05, 5.429e+03, 5.429e+10
6.551e+02, 6.551e+00, 6.551e+07
6.551e+05, 6.551e+03, 6.551e+10
7.906e+02, 7.906e+00, 7.906e+07
7.906e+05, 7.906e+03, 7.906e+10
9.541e+02, 9.541e+00, 9.541e+07
9.541e+05, 9.541e+03, 9.541e+10
1.151e+03, 1.151e+01, 1.151e+08
1.151e+06, 1.151e+04, 1.151e+11
1.389e+03, 1.389e+01, 1.389e+08
1.389e+06, 1.389e+04, 1.389e+11
1.677e+03, 1.677e+01, 1.677e+08
1.677e+06, 1.677e+04, 1.677e+11
2.024e+03, 2.024e+01, 2.024e+08
2.024e+06, 2.024e+04, 2.024e+11
2.442e+03, 2.442e+01, 2.442e+08
2.442e+06, 2.442e+04, 2.442e+11
2.947e+03, 2.947e+01, 2.947e+08
2.947e+06, 2.947e+04, 2.947e+11
3.556e+03, 3.556e+01, 3.556e+08
3.556e+06, 3.556e+04, 3.556e+11
4.292e+03, 4.292e+01, 4.292e+08
4.292e+06, 4.292e+04, 4.292e+11
5.179e+03, 5.179e+01, 5.179e+08
5.179e+06, 5.179e+04, 5.179e+11
6.251e+03, 6.251e+01, 6.251e+08
6.251e+06, 6.251e+04, 6.251e+11
7.543e+03, 7.543e+01, 7.543e+08
7.543e+06, 7.543e+04, 7.543e+11
9.103e+03, 9.103e+01, 9.103e+08
9.103e+06, 9.103e+04, 9.103e+11
1.099e+04, 1.099e+02, 1.099e+09
1.099e+07, 1.099e+05, 1.099e+12
1.326e+04, 1.326e+02, 1.326e+09
1.326e+07, 1.326e+05, 1.326e+12
1.600e+04, 1.600e+02, 1.600e+09
1.600e+07, 1.600e+05, 1.600e+12
1.931e+04, 1.931e+02, 1.931e+09
1.931e+07, 1.931e+05, 1.931e+12
2.330e+04, 2.330e+02, 2.330e+09
2.330e+07, 2.330e+05, 2.330e+12
2.812e+04, 2.812e+02, 2.812e+09
2.812e+07, 2.812e+05, 2.812e+12
3.393e+04, 3.393e+02, 3.393e+09
3.393e+07, 3.393e+05, 3.393e+12
4.095e+04, 4.095e+02, 4.095e+09
4.095e+07, 4.095e+05, 4.095e+12
4.942e+04, 4.942e+02, 4.942e+09
4.942e+07, 4.942e+05, 4.942e+12
5.964e+04, 5.964e+02, 5.964e+09
5.964e+07, 5.964e+05, 5.964e+12
7.197e+04, 7.197e+02, 7.197e+09
7.197e+07, 7.197e+05, 7.197e+12
8.685e+04, 8.685e+02, 8.685e+09
8.685e+07, 8.685e+05, 8.685e+12
1.048e+05, 1.048e+03, 1.048e+10
1.048e+08, 1.048e+06, 1.048e+13
1.265e+05, 1.265e+03, 1.265e+10
1.265e+08, 1.265e+06, 1.265e+13
1.526e+05, 1.526e+03, 1.526e+10
1.526e+08, 1.526e+06, 1.526e+13
1.842e+05, 1.842e+03, 1.842e+10
1.842e+08, 1.842e+06, 1.842e+13
2.223e+05, 2.223e+03, 2.223e+10
2.223e+08, 2.223e+06, 2.223e+13
2.683e+05, 2.683e+03, 2.683e+10
2.683e+08, 2.683e+06, 2.683e+13
3.237e+05, 3.237e+03, 3.237e+10
3.237e+08, 3.237e+06, 3.237e+13
3.907e+05, 3.907e+03, 3.907e+10
3.907e+08, 3.907e+06, 3.907e+13
4.715e+05, 4.715e+03, 4.715e+10
4.715e+08, 4.715e+06, 4.715e+13
5.690e+05, 5.690e+03, 5.690e+10
5.690e+08, 5.690e+06, 5.690e+13
6.866e+05, 6.866e+03, 6.866e+10
6.866e+08, 6.866e+06, 6.866e+13
8.286e+05, 8.286e+03, 8.286e+10
8.286e+08, 8.286e+06, 8.286e+13
1.000e+06, 1.000e+04, 1.000e+11
1.000e+09, 1.000e+07, 1.000e+14
